OrderID,OrderDate,ProductID,CustomerID,RegionID,ChannelID,Quantity,UnitPrice,UnitCost,DiscountAmount,NetRevenue,TotalCost,Profit
0,2024-10-23,20,12,2,2,8,46.71,32.0,69.75,303.93,255.97,47.97
1,2024-03-25,29,45,4,3,3,220.72,147.12,14.16,648.0,441.37,206.63
2,2024-07-02,44,56,3,1,6,219.87,152.81,238.65,1080.6,916.89,163.71
3,2023-02-12,30,89,2,2,2,99.95,74.95,6.14,193.76,149.89,43.86
4,2022-11-15,18,52,1,1,1,492.2,308.65,95.5,396.7,308.65,88.04
5,2022-03-30,31,33,5,3,9,450.27,255.95,73.71,3978.7,2303.56,1675.14
6,2023-01-17,6,32,5,2,10,155.15,106.0,127.15,1424.35,1059.96,364.39
7,2023-02-16,19,26,1,2,10,47.66,30.13,43.85,432.8,301.27,131.53
8,2022-04-19,14,82,3,3,10,233.34,132.68,302.19,2031.17,1326.81,704.36
9,2024-09-04,19,16,3,1,3,483.0,363.26,245.87,1203.14,1089.78,113.35
10,2024-02-29,30,41,4,1,7,291.92,192.78,336.13,1707.3,1349.49,357.8
11,2022-05-05,10,96,2,1,9,457.48,337.88,143.5,3973.83,3040.88,932.96
12,2024-08-07,3,8,4,1,5,183.21,126.27,146.86,769.18,631.35,137.83
13,2024-11-19,39,70,1,2,3,378.42,283.26,184.21,951.06,849.79,101.28
14,2022-09-06,38,83,1,1,4,247.28,127.31,152.15,836.95,509.23,327.73
15,2022-03-30,12,93,3,3,10,341.18,260.76,587.25,2824.55,2607.62,216.93
16,2023-07-08,1,45,5,3,4,97.91,74.08,27.28,364.37,296.32,68.05
17,2024-06-18,18,32,5,1,4,352.46,180.95,243.88,1165.97,723.79,442.17
18,2024-09-03,38,31,1,2,5,351.06,276.6,262.91,1492.41,1382.99,109.42
19,2024-11-25,50,81,4,1,6,166.57,90.56,43.81,955.64,543.35,412.28
20,2024-10-27,5,26,5,3,4,83.5,45.64,41.26,292.73,182.56,110.17
21,2023-08-03,34,33,4,2,1,70.83,42.4,9.42,61.41,42.4,19.01
22,2024-12-23,19,40,4,2,5,344.41,178.09,253.63,1468.42,890.46,577.96
23,2024-11-22,38,1,3,3,5,130.67,100.17,26.01,627.35,500.84,126.51
24,2023-07-27,31,15,1,2,7,102.32,52.31,43.88,672.37,366.2,306.17
25,2023-10-06,35,39,3,3,5,398.42,244.38,236.03,1756.07,1221.9,534.17
26,2023-01-03,22,7,3,1,2,471.59,292.72,157.49,785.69,585.43,200.25
27,2023-11-15,46,72,2,2,8,400.82,212.93,332.19,2874.38,1703.44,1170.94
28,2024-10-13,46,87,2,1,10,133.5,102.13,174.75,1160.21,1021.35,138.86
29,2022-10-21,20,96,3,2,7,215.3,132.57,164.1,1343.02,927.96,415.05
30,2022-01-18,3,18,1,2,5,258.78,134.37,97.2,1196.71,671.84,524.86
31,2024-04-05,27,22,5,3,4,334.28,190.21,114.47,1222.66,760.84,461.82
32,2024-05-12,3,34,2,1,5,110.96,80.23,13.11,541.7,401.14,140.56
33,2023-03-20,42,28,5,3,9,427.32,293.12,488.44,3357.44,2638.12,719.32
34,2024-02-13,10,11,5,3,9,210.13,111.86,250.65,1640.53,1006.77,633.76
35,2024-07-28,9,56,5,2,8,61.87,43.99,22.69,472.23,351.88,120.35
36,2023-10-18,43,65,5,2,4,361.3,217.0,118.1,1327.09,867.99,459.11
37,2024-05-29,19,28,3,1,3,106.93,61.05,60.37,260.41,183.16,77.26
38,2024-04-05,27,90,3,2,8,116.26,64.51,27.82,902.22,516.07,386.15
39,2023-08-02,18,71,3,2,8,43.08,27.63,60.22,284.45,221.03,63.42
40,2024-03-27,39,48,4,1,2,406.94,269.1,145.21,668.66,538.19,130.47
41,2022-09-08,39,71,1,3,1,306.11,164.62,52.45,253.66,164.62,89.04
42,2022-10-22,35,81,1,1,1,185.78,145.45,1.0,184.78,145.45,39.33
43,2023-06-18,31,90,4,1,1,290.23,199.31,30.02,260.21,199.31,60.9
44,2024-02-05,31,41,5,3,10,392.25,225.72,343.03,3579.43,2257.18,1322.25
45,2024-04-05,21,53,4,2,1,328.88,221.66,62.03,266.86,221.66,45.2
46,2022-01-21,25,82,3,1,4,496.55,256.1,270.5,1715.7,1024.4,691.3
47,2023-07-08,31,28,2,1,1,401.17,208.06,16.91,384.26,208.06,176.2
48,2024-04-09,3,19,3,1,1,366.66,267.2,48.1,318.56,267.2,51.36
49,2024-01-05,14,50,5,1,6,213.73,123.24,102.83,1179.55,739.42,440.13
50,2022-12-10,47,95,5,2,5,109.51,59.62,34.08,513.47,298.08,215.38
51,2023-08-12,23,97,4,3,5,162.24,117.02,68.21,742.97,585.08,157.89
52,2023-01-13,47,57,2,3,5,299.49,189.58,156.16,1341.27,947.91,393.36
53,2024-03-13,31,17,2,2,1,194.37,144.7,19.42,174.95,144.7,30.25
54,2024-09-24,42,23,2,2,4,483.17,251.5,298.36,1634.32,1006.01,628.31
55,2022-11-24,29,40,3,2,2,313.99,225.15,23.98,604.0,450.29,153.71
